POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,Price_Lakhs,City,Locality,City_Grouped,Property_Id,Price_Per_SqFt,Log_Sqft,BHK_Sqft_Ratio,Is_RK,Is_Dealer_Or_Builder,Is_UC_RERA,Is_Resale_Ready,Is_Luxury
Owner,0,0,3,BHK,1350.308642,1,1,"Deshbandhu Para,Siliguri",26.724219,88.326357,35.0,Siliguri,Deshbandhu Para,Other_City,11,2591.9999999526035,7.208828766346612,450.10288066666664,0,0,0,1,0
Dealer,0,0,2,BHK,1333.010179,1,1,"Hebbal,Bangalore",13.04034,77.591347,110.0,Bangalore,Hebbal,Bangalore,12,8252.000002169525,7.1959448568812405,666.5050895,0,1,0,1,0
Owner,0,0,2,BHK,927.1779023,1,1,"Garebhavipalya,Bangalore",12.96991,77.59796,48.0,Bangalore,Garebhavipalya,Bangalore,13,5176.999999776634,6.833223419477788,463.58895115,0,0,0,1,0
Owner,0,1,2,BHK,1122.1719460000002,1,1,"Sector-119 Noida,Noida",28.587711,77.403123,62.0,Noida,Sector-119 Noida,Noida,14,5524.999998529636,7.023912056107768,561.0859730000001,0,0,0,1,0
Owner,0,0,1,BHK,649.9837504,1,1,"sanjay nagar,Raigad",13.0352,77.5772,20.0,Raigad,sanjay nagar,Other_City,15,3077.0000000295395,6.478484680913936,649.9837504,0,0,0,1,0
Dealer,1,1,3,BHK,1394.117647,0,1,"Sector-150 Noida,Noida",28.429614,77.481711,71.1,Noida,Sector-150 Noida,Noida,16,5100.000000215189,7.240734025466515,464.70588233333336,0,1,1,0,0
Owner,0,0,3,BHK,1800.08471,1,1,"Jharapada,Bhubaneswar",20.275267000000003,85.86240699999999,85.0,Bhubaneswar,Jharapada,Bhubaneswar,17,4721.999999655572,7.4961443790504125,600.0282366666667,0,0,0,1,0
Dealer,1,1,3,BHK,2124.896706,0,1,"Konanakunte,Bangalore",12.8855,77.5638,180.0,Bangalore,Konanakunte,Bangalore,18,8471.000001634902,7.661948971644412,708.298902,0,1,1,0,1
Owner,0,0,2,BHK,1100.0,1,1,"Nagpur Road,Wardha",21.15389,79.08306,22.0,Wardha,Nagpur Road,Other_City,19,2000.0,7.00397413672268,550.0,0,0,0,1,0
Dealer,0,1,3,BHK,2178.649237,1,1,"Kogilu,Bangalore",13.092356,77.61346800000001,120.0,Bangalore,Kogilu,Bangalore,20,5508.000001195236,7.6869192423785515,726.2164123333333,0,1,0,1,0
Owner,0,0,2,BHK,881.1435285,1,1,"Poonamallee,Chennai",13.05,80.11,45.0,Chennai,Poonamallee,Chennai,21,5106.999999943823,6.782354773493207,440.57176425,0,0,0,1,0
Dealer,0,0,2,BHK,944.8818898,1,1,"Undri,Pune",18.452663,73.93104,42.0,Pune,Undri,Pune,22,4444.999999829609,6.8521177090373175,472.4409449,0,1,0,1,0
Dealer,0,1,3,BHK,1310.147689,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,55.0,Noida,Sector-134 Noida,Noida,23,4198.000001204445,7.1786581311182145,436.7158963333333,0,1,0,1,0
Dealer,0,0,1,BHK,630.00063,1,1,"Bandra (West),Mumbai",19.05444,72.84056,300.0,Mumbai,Bandra (West),Mumbai,24,47619.00000004762,6.447306860955929,630.00063,0,1,0,1,1
Dealer,0,0,2,BHK,1219.80971,1,1,"Narendra Nagar,Nagpur",21.105779,79.078497,50.0,Nagpur,Narendra Nagar,Nagpur,25,4098.999998942458,7.107269614299348,609.904855,0,1,0,1,0
Owner,0,0,2,BHK,780.141844,1,1,"Kudgat,Kolkata",22.54111,88.33778000000001,27.5,Kolkata,Kudgat,Kolkata,26,3524.999999871818,6.660756751786955,390.070922,0,0,0,1,0
Owner,0,0,3,BHK,1600.0,1,1,"Sain Vihar,Ghaziabad",28.63601,77.433724,46.0,Ghaziabad,Sain Vihar,Ghaziabad,27,2875.0,7.3783837129967145,533.3333333333334,0,0,0,1,0
Dealer,0,0,2,BHK,1180.412371,1,1,"Sector-115 Mohali,Mohali",30.712867,76.648557,22.9,Mohali,Sector-115 Mohali,Mohali,28,1940.000000220262,7.074465926292831,590.2061855,0,1,0,1,0
Owner,1,0,2,BHK,1000.0,0,1,"Mohan Asram,Deoghar",24.48,86.7,39.0,Deoghar,Mohan Asram,Other_City,29,3900.0,6.90875477931522,500.0,0,0,0,0,0
Dealer,0,0,2,BHK,1000.0,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,12.5,Bhiwadi,Alwar Bypass Road,Other_City,30,1250.0,6.90875477931522,500.0,0,1,0,1,0
Dealer,0,0,3,BHK,1400.107701,1,1,"Sector 84 Faridabad,Faridabad",28.40473,77.367514,52.0,Faridabad,Sector 84 Faridabad,Faridabad,31,3713.999998918655,7.24501841775777,466.702567,0,1,0,1,0
Dealer,0,1,2,BHK,943.1266076,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,33.0,Noida,Sector-134 Noida,Noida,32,3499.000000008058,6.850260275372795,471.5633038,0,1,0,1,0
Owner,0,0,2,BHK,1150.146382,1,1,"Indra Colony,Jaipur",26.586306,74.873234,55.0,Jaipur,Indra Colony,Jaipur,33,4782.000001109424,7.048513578741428,575.073191,0,0,0,1,0
Dealer,1,1,1,BHK,864.0674393999999,0,1,"Thane West,Lalitpur",19.18,72.96333,82.0,Lalitpur,Thane West,Lalitpur,34,9490.000000108788,6.762807468517074,864.0674393999999,0,1,1,0,0
Dealer,0,1,2,BHK,857.7861968000001,1,0,"Mulund (West),Maharashtra",19.1759,72.9522,240.0,Maharashtra,Mulund (West),Maharashtra,35,27978.999999688498,6.755519993215935,428.89309840000004,0,1,0,0,1
Owner,0,0,3,BHK,1174.210077,1,1,"Thalambur,Chennai",12.852171,80.216826,55.0,Chennai,Thalambur,Chennai,36,4683.999999431107,7.069202199533592,391.40335899999997,0,0,0,1,0
Dealer,1,1,2,BHK,1020.087884,0,1,"Wakad,Pune",18.5993,73.7625,65.0,Pune,Wakad,Pune,37,6372.00000308993,6.928623890855996,510.043942,0,1,1,0,0
Owner,0,0,4,BHK,1650.165017,1,1,"Vasna,Vadodara",22.312063,72.674296,65.0,Vadodara,Vasna,Vadodara,38,3938.999998810422,7.409236388652925,412.54125425,0,0,0,1,0
Dealer,1,0,2,BHK,1000.0,0,1,"Madhurawada,Visakhapatnam",17.815234,83.35818,35.0,Visakhapatnam,Madhurawada,Other_City,39,3500.0,6.90875477931522,500.0,0,1,0,0,0
Owner,0,0,3,BHK,1300.052002,1,1,"Vasanthapura,Bangalore",12.894088,77.548914,75.0,Bangalore,Vasanthapura,Bangalore,40,5769.0000003553705,7.170928448505393,433.3506673333333,0,0,0,1,0
Dealer,0,1,2,BHK,1058.114928,1,1,"Sus,Pune",18.539812,73.737678,65.0,Pune,Sus,Pune,42,6142.999997444512,6.965188864736599,529.057464,0,1,0,1,0
Dealer,1,0,1,BHK,400.0,0,1,"Kharadi,Pune",18.5438,73.9438,30.0,Pune,Kharadi,Pune,43,7500.0,5.993961427306569,400.0,0,1,0,0,0
Dealer,0,1,3,BHK,1274.924779,1,1,"Marol,Mumbai",22.803593,83.755013,250.0,Mumbai,Marol,Mumbai,44,19609.000006736867,7.151426511540119,424.9749263333333,0,1,0,1,1
Dealer,0,0,2,BHK,1026.694045,1,1,"Wadala East,Lalitpur",19.014858,72.8662,220.0,Lalitpur,Wadala East,Lalitpur,45,21428.00000364276,6.935072780121683,513.3470225,0,1,0,1,1
Owner,0,0,2,BHK,1150.121065,1,1,"Near Ambamata Mandir,Vapi",20.366670000000003,72.9,38.0,Vapi,Near Ambamata Mandir,Other_City,46,3304.0000010781473,7.04849158564064,575.0605325,0,0,0,1,0
Owner,0,0,3,BHK,1200.0,1,1,"Patel Nagar-II,Ghaziabad",28.460928000000003,77.03939100000001,60.0,Ghaziabad,Patel Nagar-II,Ghaziabad,47,5000.0,7.0909098220799835,400.0,0,0,0,1,0
Dealer,0,0,1,RK,475.0103263,1,1,"Balkum,Lalitpur",24.69028,78.41889,46.0,Lalitpur,Balkum,Lalitpur,48,9684.000000233258,6.165439547903674,475.0103263,1,1,0,1,0
Builder,1,1,1,BHK,301.91711630000003,0,0,"Taloja,Lalitpur",24.69028,78.41889,26.3,Lalitpur,Taloja,Lalitpur,49,8710.999999704223,5.713459224525148,301.91711630000003,0,1,1,0,0
Dealer,1,1,2,BHK,1228.571429,0,1,"Bolar,Mangalore",12.843852,74.845271,51.6,Mangalore,Bolar,Other_City,50,4199.999998534883,7.114420955942715,614.2857145,0,1,1,0,0
Owner,0,0,2,BHK,986.0164934,1,1,"Ayanambakkam,Chennai",13.077175,80.151453,55.0,Chennai,Ayanambakkam,Chennai,51,5577.999999812174,6.894686749932158,493.0082467,0,0,0,1,0
Dealer,1,1,3,BHK,1972.565158,0,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,71.9,Faridabad,Sector 88 Faridabad,Faridabad,52,3644.999999538672,7.587596911026074,657.5217193333334,0,1,1,0,0
Dealer,1,1,1,BHK,420.6166888,0,1,"Sindhi Society Chembur,Lalitpur",19.048403,72.88731,130.0,Lalitpur,Sindhi Society Chembur,Lalitpur,53,30906.99999823687,6.044096580883937,420.6166888,0,1,1,0,0
Owner,0,0,3,BHK,1275.009808,1,1,"Shiv Mandir,Siliguri",25.232239,71.392013,32.5,Siliguri,Shiv Mandir,Other_City,54,2548.9999995356898,7.15149315039557,425.0032693333333,0,0,0,1,0
Dealer,1,1,1,BHK,406.024219,0,0,"Kalyan (West),Maharashtra",19.245347,73.124577,39.9,Maharashtra,Kalyan (West),Maharashtra,55,9826.999999721691,6.008872689814681,406.024219,0,1,1,0,0
Dealer,0,0,3,BHK,1862.562189,1,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,59.9,Faridabad,Sector 88 Faridabad,Faridabad,56,3216.0000000944933,7.530245090511657,620.854063,0,1,0,1,0
Owner,0,0,2,BHK,950.0146156,1,1,"Nandanwan Phases 2,Aurangabad",19.88879,75.34344,65.0,Aurangabad,Nandanwan Phases 2,Other_City,57,6842.000000068209,6.857529431091857,475.0073078,0,0,0,1,0
Owner,0,1,4,BHK,5200.945626,1,1,"Sector-76 Noida,Noida",28.567633,77.383124,110.0,Noida,Sector-76 Noida,Noida,58,2115.0000001941958,8.556787993435707,1300.2364065,0,0,0,1,0
Dealer,0,0,2,BHK,1049.969344,1,1,"Basaveshwara Nagar,Bangalore",12.985039,77.54383,68.5,Bangalore,Basaveshwara Nagar,Bangalore,59,6523.999999756183,6.957468202040507,524.984672,0,1,0,1,0
Dealer,0,0,3,BHK,1615.008157,1,1,"Maniktala,Kolkata",22.589694,88.372957,99.0,Kolkata,Maniktala,Kolkata,60,6129.9999985077475,7.387714286716816,538.3360523333333,0,1,0,1,0
Dealer,0,0,3,BHK,1150.0069,1,1,"Wadala East,Lalitpur",19.014858,72.8662,250.0,Lalitpur,Wadala East,Lalitpur,61,21739.000000782602,7.0483924034910554,383.33563333333336,0,1,0,1,1
Owner,0,0,2,BHK,1100.0,1,1,"Jhotwara,Jaipur",26.955346,75.73479300000001,27.5,Jaipur,Jhotwara,Jaipur,62,2500.0,7.00397413672268,550.0,0,0,0,1,0
Dealer,1,1,2,BHK,906.2661833,0,0,"Balkum,Lalitpur",24.69028,78.41889,70.0,Lalitpur,Balkum,Lalitpur,63,7724.000000210534,6.810435883685535,453.13309165,0,1,1,0,0
Owner,0,0,3,BHK,1454.333915,1,1,"Poolakkaparambu,Ottapalam",10.77,76.38,50.0,Ottapalam,Poolakkaparambu,Other_City,64,3438.000000158148,7.28299064812104,484.77797166666664,0,0,0,1,0
Owner,0,0,3,BHK,1591.994542,1,1,"Sector-137 Noida,Noida",28.506454,77.40956800000001,70.0,Noida,Sector-137 Noida,Noida,65,4396.999999262561,7.373370883664379,530.6648473333333,0,0,0,1,0
Dealer,0,1,2,BHK,573.8769151,1,1,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,22.1,Faridabad,Sector 86 Faridabad,Faridabad,66,3850.999999912699,6.354155957187437,286.93845755,0,1,0,1,0
Dealer,0,1,3,BHK,1038.883942,1,1,"Powai,Mumbai",19.12,72.91,280.0,Mumbai,Powai,Mumbai,67,26951.99999539506,6.94686439167755,346.29464733333333,0,1,0,1,1
Owner,0,0,3,BHK,1538.141758,1,1,"Yelahanka,Bangalore",13.11389,77.59833,74.0,Bangalore,Yelahanka,Bangalore,68,4811.000001470606,7.3389802400583095,512.7139193333334,0,0,0,1,0
Owner,0,0,2,BHK,5000.0,1,1,"Malviya Nagar,Jaipur",26.850391,75.814198,85.0,Jaipur,Malviya Nagar,Jaipur,69,1700.0,8.517393171418904,2500.0,0,0,0,1,0
Dealer,0,0,3,BHK,1602.084012,1,1,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,49.2,Faridabad,Sector 77 Faridabad,Faridabad,70,3070.9999994681925,7.379684560468926,534.028004,0,1,0,1,0
Owner,0,0,2,BHK,1200.0,1,1,"Madhuranagar,Vijayawada",16.51667,80.61667,45.0,Vijayawada,Madhuranagar,Other_City,71,3750.0,7.0909098220799835,600.0,0,0,0,1,0
Owner,0,0,2,BHK,760.0709400000001,1,1,"Tilakwadi,Belgaum",15.86667,74.5,60.0,Belgaum,Tilakwadi,Other_City,72,7893.99999952636,6.634726572965118,380.03547000000003,0,0,0,1,0
Owner,1,0,2,BHK,739.8273736000001,0,1,"tallaiya,Bhopal",23.25,77.41667,30.0,Bhopal,tallaiya,Other_City,73,4055.000000070286,6.607767634053171,369.91368680000005,0,0,0,0,0
Owner,0,0,2,BHK,1260.02291,1,1,"Mulki,Mangalore",13.0915,74.7844,33.0,Mangalore,Mulki,Other_City,74,2618.999998976209,7.13967850392042,630.011455,0,0,0,1,0
Owner,0,0,2,BHK,1100.151745,1,1,"Manewada,Nagpur",21.093676,79.111965,29.0,Nagpur,Manewada,Nagpur,75,2636.000000163614,7.0041119519305415,550.0758725,0,0,0,1,0
Dealer,0,1,3,BHK,2293.077091,1,1,"Kharadi,Pune",18.5438,73.9438,210.0,Pune,Kharadi,Pune,76,9158.000000271251,7.738085902617254,764.3590303333334,0,1,0,1,1
Dealer,0,0,2,BHK,1146.480331,1,1,"Sector-8 Ulwe,Lalitpur",19.216097,72.821721,88.6,Lalitpur,Sector-8 Ulwe,Lalitpur,77,7728.000001772381,7.045323801047055,573.2401655,0,1,0,1,0
Dealer,0,1,4,BHK,2224.059764,1,1,"Goregaon (East),Lalitpur",19.1615,72.8731,780.0,Lalitpur,Goregaon (East),Lalitpur,78,35071.00000753397,7.7075390544643305,556.014941,0,1,0,1,1
Dealer,0,0,2,BHK,759.8784195000001,1,1,"Joka,Kolkata",22.452032,88.298947,30.0,Kolkata,Joka,Kolkata,79,3947.9999997552236,6.634473580971888,379.93920975000003,0,1,0,1,0
Owner,0,0,4,BHK,2260.251857,1,1,"Wilson Garden,Bangalore",12.9506,77.5952,140.0,Bangalore,Wilson Garden,Bangalore,80,6193.999999000996,7.723673857936365,565.06296425,0,0,0,1,0
Dealer,0,0,3,BHK,767.0182167,1,1,"DN Nagar,Maharashtra",20.742166,80.104602,240.0,Maharashtra,DN Nagar,Maharashtra,81,31289.999999292064,6.643813452527824,255.6727389,0,1,0,1,1
Owner,0,0,4,BHK,2500.0,1,1,"Ramprastha,Ghaziabad",28.66667,77.41667,160.0,Ghaziabad,Ramprastha,Ghaziabad,82,6400.0,7.824445930877619,625.0,0,0,0,1,1
Dealer,1,1,4,BHK,2286.236854,0,1,"Gomti Nagar Extension,Lucknow",21.0,77.0,100.0,Lucknow,Gomti Nagar Extension,Lucknow,83,4374.000000264189,7.735099754029738,571.5592135,0,1,1,0,0
Owner,0,1,2,BHK,1150.086256,1,1,"Sector-74 Noida,Noida",28.577673,77.389781,60.0,Noida,Sector-74 Noida,Noida,84,5217.000002128536,7.048461345966146,575.043128,0,0,0,1,0
Dealer,0,1,2,BHK,1004.932182,1,1,"New Panvel,Mumbai",18.966114,73.148278,81.5,Mumbai,New Panvel,Mumbai,85,8110.0000039604665,6.9136699348684045,502.466091,0,1,0,1,0
Owner,0,0,2,BHK,800.0,1,1,"Prantik,Kolkata",22.56972,88.36972,34.0,Kolkata,Prantik,Kolkata,86,4250.0,6.68586094706836,400.0,0,0,0,1,0
Dealer,1,0,3,BHK,993.75,0,1,"Subhas Pally,Siliguri",26.706157,88.439748,31.8,Siliguri,Subhas Pally,Other_City,87,3200.0,6.902491449307038,331.25,0,1,0,0,0
Dealer,0,0,2,BHK,1298.139334,1,1,"Jatkhedi,Bhopal",23.169982,77.477889,30.0,Bhopal,Jatkhedi,Other_City,88,2310.999999326729,7.16945727342801,649.069667,0,1,0,1,0
Dealer,0,1,2,BHK,996.797438,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,24.9,Ghaziabad,Raj Nagar Extension,Ghaziabad,89,2497.9999998756016,6.905550287774814,498.398719,0,1,0,1,0
Owner,0,0,2,BHK,985.0194952,1,1,"CV Raman Nagar,Bangalore",12.98556,77.66389000000001,48.0,Bangalore,CV Raman Nagar,Bangalore,90,4872.999999888733,6.8936761264152855,492.5097476,0,0,0,1,0
Dealer,0,0,3,BHK,1118.75,1,1,"Medavakkam,Chennai",12.91716,80.19287,53.7,Chennai,Medavakkam,Chennai,91,4800.0,7.0208607250874095,372.9166666666667,0,1,0,1,0
Dealer,0,1,2,BHK,889.8305085000001,1,1,"Sector-137 Noida,Noida",28.506454,77.40956800000001,42.0,Noida,Sector-137 Noida,Noida,92,4719.999999865143,6.7921541832251275,444.91525425000003,0,1,0,1,0
Owner,0,0,3,BHK,2738.22563,1,1,"Basapura,Bangalore",12.863421,77.652405,150.0,Bangalore,Basapura,Bangalore,93,5477.999999583672,7.915430542650144,912.7418766666666,0,0,0,1,1
Dealer,1,1,4,BHK,1725.4901960000002,0,0,"Deonar,Maharashtra",19.049513,72.91920400000001,440.0,Maharashtra,Deonar,Maharashtra,94,25500.00000115909,7.453845838273525,431.37254900000005,0,1,1,0,1
Dealer,1,1,3,BHK,2488.004265,0,1,"Sector-82 Mohali,Mohali",30.654128000000004,76.732427,140.0,Mohali,Sector-82 Mohali,Mohali,95,5627.00000033963,7.819638015905698,829.334755,0,1,1,0,0
Dealer,0,0,3,BHK,1200.082764,1,1,"Satgachi,Kolkata",23.207157,88.404471,58.0,Kolkata,Satgachi,Kolkata,96,4833.000001323242,7.090978732278478,400.027588,0,1,0,1,0
Dealer,0,0,2,BHK,1584.283904,1,1,"Tilak Nagar,Kanpur",26.459137,79.506922,100.0,Kanpur,Tilak Nagar,Other_City,97,6311.999998707302,7.368518789514347,792.141952,0,1,0,1,0
Owner,0,0,2,BHK,900.0,1,1,"Kalol,Gandhinagar",23.2257,72.51679,18.0,Gandhinagar,Kalol,Other_City,98,2000.0,6.803505257608338,450.0,0,0,0,1,0
Dealer,0,1,2,BHK,1193.440032,1,1,"Talegaon,Pune",18.441256,74.647361,60.4,Pune,Talegaon,Pune,99,5060.999998364392,7.085432762073231,596.720016,0,1,0,1,0
Owner,0,0,2,BHK,1487.357462,1,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,30.0,Jaipur,Mansarovar Extension,Jaipur,100,2016.9999994258274,7.305428416381179,743.678731,0,0,0,1,0
Owner,1,1,2,BHK,989.9029895,0,1,"Sector-143 Noida,Noida",28.5035,77.426447,50.0,Noida,Sector-143 Noida,Noida,101,5051.000000035862,6.898616638014587,494.95149475,0,0,1,0,0
Dealer,0,0,2,BHK,1155.020213,1,1,"Bhandup (West),Maharashtra",19.147866,72.932609,140.0,Maharashtra,Bhandup (West),Maharashtra,102,12120.999998464962,7.0527385343735745,577.5101065,0,1,0,1,0
Owner,0,0,2,BHK,949.893137,1,1,"Eswaran Koil Street,Pondicherry",11.93,79.83,80.0,Pondicherry,Eswaran Koil Street,Other_City,103,8422.00000019581,6.857401687146338,474.9465685,0,0,0,1,0
Owner,0,0,2,BHK,875.0,1,1,"Sector-78 Noida,Noida",28.560719,77.386208,49.0,Noida,Sector-78 Noida,Noida,104,5600.0,6.775366090936392,437.5,0,0,0,1,0
Dealer,0,0,2,BHK,853.3611982000001,1,1,"Ananth Nagar,Bangalore",12.96991,77.59796,24.5,Bangalore,Ananth Nagar,Bangalore,105,2870.9999999622664,6.750354053082919,426.68059910000005,0,1,0,1,0
Owner,0,0,1,BHK,483.0917874,1,1,"Roha,Raigad",18.4543,73.1147,18.0,Raigad,Roha,Other_City,106,3726.000000305532,6.182274532125027,483.0917874,0,0,0,1,0
Dealer,0,0,2,BHK,800.0,1,1,"Thane West,Maharashtra",19.18,72.96333,95.0,Maharashtra,Thane West,Maharashtra,107,11875.0,6.68586094706836,400.0,0,1,0,1,0
Owner,0,0,2,BHK,802.0415602999999,1,1,"Ankur Vihar,Ghaziabad",28.66667,77.41667,22.0,Ghaziabad,Ankur Vihar,Ghaziabad,108,2743.0000001210665,6.688406468896368,401.02078014999995,0,0,0,1,0
Dealer,0,1,2,BHK,610.0660905,1,1,"Koyambedu,Chennai",13.069866,80.19842299999999,48.0,Chennai,Koyambedu,Chennai,109,7867.999999911485,6.4152051210796595,305.03304525,0,1,0,1,0
Owner,0,0,3,BHK,1680.107527,1,1,"Naveen Nagar,Kanpur",28.861993,78.756315,75.0,Kanpur,Naveen Nagar,Other_City,110,4463.999999685735,7.427208097454485,560.0358423333333,0,0,0,1,0
Owner,0,0,2,BHK,1150.136038,1,1,"Nirman Nagar,Jaipur",19.980678,79.297436,93.0,Jaipur,Nirman Nagar,Jaipur,111,8085.999997158597,7.048504592876001,575.068019,0,0,0,1,0
Owner,0,0,3,BHK,1550.114497,1,1,"Sector-75 Noida,Noida",28.576117,77.382136,88.0,Noida,Sector-75 Noida,Noida,112,5677.000000342555,7.346728981857418,516.7048323333333,0,0,0,1,0
Owner,0,0,5,BHK,1699.834163,1,1,"Sahibabad,Ghaziabad",28.6711,77.3683,82.0,Ghaziabad,Sahibabad,Ghaziabad,113,4823.999998639867,7.438874093815869,339.9668326,0,0,0,1,0
Owner,1,0,3,BHK,1600.170685,0,1,"Tripunithura,Kochi",9.952439,76.36329649999999,75.0,Kochi,Tripunithura,Kochi,114,4686.999999628165,7.37849031880693,533.3902283333333,0,0,0,0,0
Owner,0,0,1,BHK,600.0566091,1,1,"Pen,Raigad",18.75,73.08,21.2,Raigad,Pen,Other_City,115,3533.000000082826,6.398689121613608,600.0566091,0,0,0,1,0
Dealer,0,1,2,BHK,1429.200617,1,1,"Sector-66A Mohali,Mohali",30.661104,76.746082,64.9,Mohali,Sector-66A Mohali,Mohali,116,4540.9999987426545,7.265570005022397,714.6003085,0,1,0,1,0
Owner,0,0,2,BHK,1115.1379980000002,1,1,"Dodda Banaswadi,Bangalore",13.008071,77.65129499999999,80.0,Bangalore,Dodda Banaswadi,Bangalore,117,7174.0000021055685,7.01762978941858,557.5689990000001,0,0,0,1,0
Dealer,0,0,4,BHK,2750.929368,1,1,"Sikandra,Agra",27.216013,77.950834,74.0,Agra,Sikandra,Other_City,118,2690.000000029081,7.92005753302619,687.732342,0,1,0,1,0
Owner,0,0,3,BHK,1811.196487,1,1,"Kanke,Ranchi",23.35556,85.33471999999999,99.0,Ranchi,Kanke,Other_City,119,5466.000001136265,7.502294917258325,603.7321623333333,0,0,0,1,0
Owner,0,0,2,BHK,1045.036079,1,1,"Narendrapur,Kolkata",22.43917,88.39583,42.0,Kolkata,Narendrapur,Kolkata,120,4018.999998563686,6.952763136381837,522.5180395,0,0,0,1,0
Dealer,0,0,3,BHK,3433.996566,1,1,"Sector-65 Gurgaon,Gurgaon",28.403138,77.070052,340.0,Gurgaon,Sector-65 Gurgaon,Gurgaon,121,9901.0000000099,8.141771204947071,1144.665522,0,1,0,1,1
Owner,0,0,3,BHK,1298.219585,1,1,"Electronics City Phase 1,Bangalore",12.840956,77.659441,70.0,Bangalore,Electronics City Phase 1,Bangalore,122,5391.999998212937,7.169519043955122,432.7398616666667,0,0,0,1,0
Owner,1,1,2,BHK,1109.165207,0,1,"Katapady,Udupi",13.278237,74.747328,38.0,Udupi,Katapady,Other_City,123,3426.0000007374915,7.012264118366665,554.5826035,0,0,1,0,0
Dealer,1,1,4,BHK,1304.034182,0,0,"Kanchpada,Maharashtra",18.96,72.82,470.0,Maharashtra,Kanchpada,Maharashtra,124,36042.00000947521,7.173984512517209,326.0085455,0,1,1,0,1
Dealer,0,1,2,BHK,1041.195111,1,1,"Sector-70 Noida,Noida",28.59632,77.38143000000001,46.0,Noida,Sector-70 Noida,Noida,125,4417.999999617747,6.9490844514259225,520.5975555,0,1,0,1,0
Dealer,0,0,3,BHK,2135.748916,1,1,"Sector 82 Faridabad,Faridabad",28.394375,77.35722700000001,83.7,Faridabad,Sector 82 Faridabad,Faridabad,126,3918.9999991553314,7.667040754733492,711.9163053333333,0,1,0,1,0
Owner,0,1,3,BHK,1850.180505,1,1,"Noida Extension,Noida",28.579004,77.431173,82.0,Noida,Noida Extension,Noida,127,4432.000000994498,7.523578825377046,616.726835,0,0,0,1,0
