City,BHK_NO,AvgPrice_Lakhs,MedianPrice_Lakhs,AvgPricePerSqFt,MedianPricePerSqFt,PropertyCount,ValuationIndex
Bangalore,1,43.2,38.0,6593.47,5751.5,136,129.9
Bangalore,2,62.91,59.0,5521.87,5239.0,1952,108.78
Bangalore,3,119.91,98.0,6768.27,6170.0,1921,133.34
Bangalore,4,315.38,250.0,9317.21,8503.0,276,183.55
Bangalore,5,793.0,480.0,13121.4,10500.0,15,258.5
Bareilly,2,39.39,42.5,3559.0,3695.0,7,70.11
Belgaum,2,40.98,41.5,4010.86,3744.5,14,79.02
Bharuch,1,13.82,11.0,2306.89,1666.0,9,45.45
Bharuch,2,22.02,22.0,2087.04,2170.0,28,41.12
Bhavnagar,1,12.13,13.05,1946.0,2254.5,10,38.34
Bhavnagar,2,24.18,25.0,2654.06,2616.0,17,52.29
Bhilai,1,14.17,7.0,3623.33,1599.0,6,71.38
Bhilai,2,20.67,18.0,1973.68,1882.0,19,38.88
Bhilai,3,37.68,35.35,2322.0,2318.5,12,45.74
Bhiwadi,1,15.65,15.95,2657.8,2692.5,20,52.36
Bhiwadi,2,24.85,25.0,2324.26,2400.0,111,45.79
Bhiwadi,3,34.05,32.0,2339.63,2244.0,30,46.09
Bhopal,1,17.88,14.5,3724.15,2888.0,13,73.37
Bhopal,2,25.6,23.0,2854.7,2500.0,108,56.24
Bhopal,3,36.85,32.0,2784.94,2609.0,83,54.86
Bhopal,4,60.35,57.5,3060.0,2650.5,10,60.28
Bhubaneswar,1,29.37,31.5,4678.17,5026.5,6,92.16
Bhubaneswar,2,45.11,43.45,3840.25,3721.0,118,75.65
Bhubaneswar,3,74.9,70.0,4671.61,4400.0,101,92.03
Bhubaneswar,4,115.85,120.0,4835.0,4849.5,6,95.25
Bilaspur,2,32.36,30.0,2988.0,2630.0,16,58.87
Bokaro,3,30.24,25.0,2292.2,1976.0,5,45.16
Chandigarh,1,21.83,15.75,3319.97,2512.5,36,65.41
Chandigarh,2,42.33,40.0,3808.77,3295.0,153,75.03
Chandigarh,3,66.57,60.0,4058.64,3552.0,407,79.96
Chandigarh,4,96.46,95.6,4636.05,3970.5,92,91.33
Chandrapur,2,23.84,25.75,2284.5,2294.5,8,45.01
Chennai,1,30.99,28.0,5374.07,4977.0,144,105.87
Chennai,2,50.34,45.0,5354.69,4919.0,713,105.49
Chennai,3,92.98,75.0,6284.79,5273.0,337,123.81
Chennai,4,242.46,150.0,8901.03,6417.5,40,175.36
Coimbatore,1,22.06,23.0,4342.62,4604.0,13,85.55
Coimbatore,2,49.33,44.0,4286.54,4219.0,82,84.45
Coimbatore,3,101.1,80.0,5636.33,4934.0,43,111.04
Dehradun,1,27.72,27.5,3887.75,3979.5,20,76.59
Dehradun,2,48.49,49.5,4076.03,4049.5,34,80.3
Dehradun,3,74.22,73.0,4114.48,4151.0,71,81.06
Dehradun,4,164.3,130.0,6082.0,4642.0,5,119.82
Dhanbad,2,26.41,25.9,2605.14,2577.0,7,51.32
Dhanbad,3,33.49,32.0,2518.43,2469.0,23,49.61
Dharuhera,2,32.67,30.0,2635.51,2456.0,41,51.92
Dharuhera,3,44.8,35.5,2729.1,2363.0,21,53.76
Durg,2,23.14,25.0,2420.86,2116.0,7,47.69
Durgapur,2,20.27,18.6,2349.97,2151.0,32,46.3
Durgapur,3,29.87,27.0,2537.16,2450.0,19,49.98
Ernakulam,2,46.03,42.0,4509.59,4037.0,17,88.84
Ernakulam,3,77.73,66.0,4733.27,4355.0,26,93.25
Faridabad,1,14.74,13.55,3881.58,3996.5,12,76.47
Faridabad,2,36.43,38.0,3586.25,3557.0,241,70.65
Faridabad,3,57.33,55.0,3707.87,3599.5,336,73.05
Faridabad,4,128.72,99.0,4729.02,4117.0,57,93.16
Gandhidham,2,26.83,25.0,2882.33,2958.5,6,56.78
Gandhinagar,1,18.04,18.0,3642.63,3624.0,19,71.76
Gandhinagar,2,38.11,36.0,3389.74,3116.0,70,66.78
Gandhinagar,3,72.83,65.0,5173.72,3483.0,29,101.93
Ghaziabad,1,20.14,19.5,3869.61,3726.0,109,76.23
Ghaziabad,2,41.32,37.0,4059.97,3640.0,522,79.98
Ghaziabad,3,70.79,63.0,4536.41,4214.0,399,89.37
Ghaziabad,4,128.95,120.0,5368.12,5142.0,51,105.75
Goa,1,40.25,38.0,5570.73,5500.0,37,109.75
Goa,2,65.59,58.5,5683.13,5419.0,75,111.96
Goa,3,89.91,76.5,5698.0,5326.5,28,112.25
Guntur,2,41.83,41.0,3601.08,3394.0,25,70.94
Guntur,3,54.8,56.2,3376.67,3370.0,6,66.52
Gurgaon,2,86.85,83.0,7124.13,6439.5,78,140.35
Gurgaon,3,162.78,130.0,7415.03,6729.0,225,146.08
Gurgaon,4,268.3,210.0,8668.96,7736.0,98,170.78
Gurgaon,5,537.86,530.0,9797.93,9411.5,14,193.02
Guwahati,1,25.05,21.9,4555.33,4117.0,6,89.74
Guwahati,2,40.65,39.85,4106.61,3878.5,28,80.9
Guwahati,3,58.34,54.2,4272.1,4000.0,51,84.16
Gwalior,2,30.3,30.25,3321.14,3322.5,28,65.43
Gwalior,3,45.65,45.0,3240.2,3079.0,20,63.83
Haridwar,1,16.35,15.5,3071.0,3026.0,12,60.5
Haridwar,2,31.5,32.25,3303.33,3199.5,24,65.08
Hazaribagh,3,39.04,33.0,2871.0,2500.0,5,56.56
Hubli,2,29.72,29.25,2943.42,3043.0,24,57.99
Hubli,3,54.8,55.0,3907.4,4047.0,5,76.98
Indore,1,15.85,15.0,2549.86,2587.5,44,50.23
Indore,2,30.06,28.25,2889.31,2811.5,152,56.92
Indore,3,61.84,55.0,3427.09,3260.0,85,67.52
Indore,4,108.6,105.0,4027.2,3600.5,20,79.34
Indore,5,163.18,200.0,4150.8,4544.0,5,81.77
Jabalpur,2,32.29,31.95,3149.78,3044.0,18,62.05
Jabalpur,3,83.13,60.0,6670.31,4482.0,13,131.41
Jaipur,1,18.9,18.0,3208.31,3024.0,58,63.21
Jaipur,2,31.9,28.6,3016.23,2800.0,379,59.42
Jaipur,3,59.96,47.8,3661.14,3264.0,477,72.13
Jaipur,4,140.9,92.0,5403.97,4633.0,39,106.46
Jalandhar,2,34.17,33.0,2709.27,2928.0,11,53.37
Jalandhar,3,58.28,50.0,3129.75,3023.5,16,61.66
Jalandhar,4,67.67,63.0,2679.22,2791.0,9,52.78
Jalgaon,1,249.98,21.95,42023.17,3900.5,6,827.88
Jalgaon,2,41.61,39.35,5899.3,4678.5,10,116.22
Jamnagar,1,14.46,14.0,2621.06,2396.0,16,51.64
Jamnagar,2,29.06,27.2,2678.83,2556.0,40,52.77
Jamnagar,3,42.7,38.45,2878.5,2764.5,10,56.71
Jamshedpur,2,31.64,28.0,3352.57,3100.0,37,66.05
Jamshedpur,3,48.21,45.0,3400.62,3422.0,45,66.99
Jodhpur,2,31.64,29.75,3600.19,3231.5,16,70.93
Jodhpur,3,60.6,50.0,3967.2,3285.0,5,78.16
Junagadh,2,15.15,15.9,1980.64,1933.0,11,39.02
Kakinada,2,38.31,34.0,3606.0,3343.5,8,71.04
Kannur,2,44.25,46.5,4270.17,4040.0,6,84.12
Kannur,3,67.17,66.5,3997.33,4096.5,6,78.75
Kanpur,2,41.12,37.0,3865.62,3775.0,26,76.15
Kanpur,3,73.73,65.0,5037.98,4730.5,48,99.25
Kanpur,4,196.0,215.0,7898.6,8446.5,10,155.61
Karad,1,17.88,17.0,2729.82,2617.0,11,53.78
Karjat,1,18.62,18.6,3409.31,3281.5,16,67.17
Kochi,1,30.7,30.0,4359.5,4035.0,10,85.88
Kochi,2,48.55,45.0,4554.49,4454.0,53,89.73
Kochi,3,89.95,75.0,5313.09,4829.0,121,104.67
Kochi,4,229.24,230.0,7450.71,8118.0,17,146.78
Kolhapur,1,27.39,25.0,4880.27,4615.0,11,96.14
Kolhapur,2,40.39,38.0,4336.81,4133.0,21,85.44
Kolkata,1,21.41,19.0,3940.31,3614.0,58,77.63
Kolkata,2,43.11,33.3,4653.19,3897.5,772,91.67
Kolkata,3,79.45,66.0,5437.41,4716.0,739,107.12
Kolkata,4,244.55,180.0,8733.89,7795.0,115,172.06
Kolkata,5,322.8,290.0,8551.0,9781.0,15,168.46
Kota,2,37.85,33.35,3408.36,3343.5,14,67.15
Kota,3,60.55,50.5,3430.96,3285.5,24,67.59
Kottayam,3,75.54,79.75,4746.57,4619.0,14,93.51
Lalitpur,1,62.84,55.0,11200.35,9384.0,749,220.65
Lalitpur,2,131.66,110.0,13828.73,11600.0,1371,272.43
Lalitpur,3,291.85,230.0,19216.01,16471.0,681,378.57
Lalitpur,4,802.22,700.0,29232.84,28571.0,129,575.9
Lalitpur,5,739.5,650.0,19928.4,14761.5,20,392.6
Latur,2,23.25,24.5,2393.17,2444.5,6,47.15
Lucknow,1,21.94,18.5,3816.07,3571.0,27,75.18
Lucknow,2,44.06,42.0,4001.82,3787.0,142,78.84
Lucknow,3,73.38,67.5,4333.18,4043.0,137,85.37
Lucknow,4,122.26,100.0,5212.25,4575.0,16,102.68
Ludhiana,2,46.18,48.5,3809.3,4041.5,10,75.05
Ludhiana,3,76.08,81.0,4492.92,4499.5,12,88.51
Ludhiana,4,107.17,102.5,5217.83,4743.0,6,102.79
Madurai,2,44.29,40.0,4364.62,4271.5,26,85.99
Madurai,3,68.92,70.0,4614.0,5000.0,5,90.9
Maharashtra,1,66.11,59.95,12096.22,10354.0,348,238.3
Maharashtra,2,135.55,110.0,14568.71,12416.0,715,287.01
Maharashtra,3,272.53,220.0,18477.36,16000.0,385,364.01
Maharashtra,4,773.52,660.0,30261.36,25027.0,88,596.17
Maharashtra,5,1207.33,1350.0,31129.13,25000.0,15,613.26
Mangalore,1,25.43,24.7,3717.57,3300.0,7,73.24
Mangalore,2,44.36,42.0,4001.16,3796.0,57,78.83
Mangalore,3,79.25,72.0,4572.69,4444.0,51,90.08
Mangalore,4,149.28,130.0,5118.0,5290.5,6,100.83
Margao,2,46.57,47.0,4405.63,4272.0,16,86.79
Mathura,2,23.69,20.75,2426.5,2389.0,8,47.8
Meerut,1,12.6,13.35,2998.67,2431.5,6,59.08
Meerut,2,29.13,25.0,2823.32,2702.0,31,55.62
Meerut,3,39.91,38.0,4218.73,2728.0,11,83.11
Mohali,1,20.76,19.0,3553.07,3872.5,14,70.0
Mohali,2,38.44,37.5,3307.82,3063.5,168,65.17
Mohali,3,76.04,65.8,4124.27,3953.0,307,81.25
Mohali,4,122.53,130.0,4638.16,4259.0,62,91.37
Moradabad,2,23.4,28.0,2671.6,2636.0,5,52.63
Mumbai,1,65.22,57.0,11697.32,9848.0,461,230.44
Mumbai,2,137.94,120.0,14461.6,12840.0,971,284.9
Mumbai,3,312.61,240.0,20274.69,16800.0,465,399.42
Mumbai,4,615.22,585.0,25418.33,23932.0,90,500.76
Mumbai,5,1056.36,620.0,32474.55,31429.0,11,639.77
Mysore,2,57.47,54.0,5143.33,4769.0,27,101.33
Mysore,3,74.46,67.5,4778.93,4426.0,14,94.15
Nagpur,1,19.5,16.75,3427.21,3419.5,24,67.52
Nagpur,2,37.24,35.0,3787.96,3588.0,238,74.62
Nagpur,3,67.43,60.0,4765.04,4286.0,67,93.87
Nainital,2,48.67,51.0,3497.0,3493.5,6,68.89
Navsari,1,14.24,11.75,2193.75,1705.5,8,43.22
Navsari,2,26.4,24.0,2053.33,1909.0,9,40.45
Neemrana,1,16.84,12.5,3487.24,2795.0,17,68.7
Neemrana,2,32.02,32.0,2994.88,2869.0,17,59.0
Nellore,2,33.49,35.0,2625.82,2619.0,17,51.73
Noida,1,24.88,23.35,4535.15,4258.5,78,89.35
Noida,2,51.72,50.0,4742.22,4712.0,638,93.42
Noida,3,92.02,84.15,5456.7,5222.5,830,107.5
Noida,4,204.73,180.0,6594.56,6207.0,188,129.92
Noida,5,314.29,290.0,6832.24,6896.0,21,134.6
Ongole,2,31.83,30.5,2793.83,2865.5,6,55.04
Palakkad,2,37.41,30.0,3355.18,2833.0,11,66.1
Palakkad,3,56.33,55.5,3658.5,3634.5,12,72.07
Palghar,1,18.91,18.0,3798.86,3360.0,71,74.84
Palghar,2,27.82,24.35,3341.53,3000.0,32,65.83
Palwal,3,28.2,30.0,2253.2,2380.0,5,44.39
Panaji,2,91.78,72.7,7728.05,6573.0,19,152.25
Panaji,3,147.82,130.0,8912.82,8710.0,11,175.59
Panchkula,2,53.31,51.55,4945.57,5094.5,14,97.43
Panchkula,3,81.06,65.0,4663.93,4009.0,57,91.88
Panchkula,4,102.34,85.1,4614.56,4216.0,9,90.91
Patna,2,41.37,41.75,4150.0,3978.0,28,81.76
Patna,3,60.77,56.3,4428.63,4313.0,51,87.25
Pondicherry,2,46.75,41.0,4328.15,4167.0,13,85.27
Pune,1,34.46,33.0,5664.64,5384.0,379,111.6
Pune,2,65.4,63.0,6506.34,6338.0,1009,128.18
Pune,3,128.17,110.0,7903.65,7278.5,490,155.71
Pune,4,293.52,240.0,9339.92,8839.0,87,184.0
Pune,5,630.0,550.0,10870.91,9821.0,11,214.16
Puri,1,19.73,15.0,3931.88,3657.0,8,77.46
Raigad,1,24.97,23.0,4206.43,4196.0,44,82.87
Raigad,2,39.06,35.0,4107.59,4000.0,17,80.92
Raigarh,2,41.7,38.0,5084.2,3331.0,5,100.16
Raipur,2,28.24,26.0,2765.52,2753.5,50,54.48
Raipur,3,45.32,48.0,2921.87,2950.0,31,57.56
Rajkot,1,16.66,16.5,4183.65,4145.0,17,82.42
Rajkot,2,35.81,33.25,4939.36,4862.5,36,97.31
Rajkot,3,73.6,65.0,5505.62,5046.0,29,108.46
Ranchi,2,37.52,38.25,3678.18,3740.5,28,72.46
Ranchi,3,59.91,54.8,3962.71,3849.0,86,78.07
Ranchi,4,103.6,91.2,4666.29,4207.0,7,91.93
Ratnagiri,1,18.66,17.4,3042.92,3000.0,26,59.95
Ratnagiri,2,31.2,30.0,3325.6,3394.5,10,65.52
Rewari,3,46.2,45.0,2827.0,2500.0,5,55.69
Rohtak,3,53.79,50.0,3229.71,2844.0,7,63.63
Rudrapur,2,20.02,21.8,2132.35,2095.0,17,42.01
Secunderabad,1,16.36,18.0,2857.86,3000.0,7,56.3
Secunderabad,2,42.02,38.0,3975.05,3707.0,57,78.31
Secunderabad,3,75.02,70.0,4316.95,4103.5,40,85.05
Shimla,2,50.3,48.5,5374.3,5317.0,10,105.88
Shimla,3,86.12,70.0,5540.5,5913.0,8,109.15
Siliguri,1,13.51,14.7,2840.89,2863.0,9,55.97
Siliguri,2,25.76,25.0,2798.48,2700.0,21,55.13
Siliguri,3,42.52,37.05,3016.12,3046.0,50,59.42
Sindhudurg,1,18.52,18.5,3091.08,3083.0,13,60.9
Sindhudurg,2,26.78,27.5,3093.75,3166.5,8,60.95
Solan,1,16.92,14.5,2945.37,2600.5,8,58.03
Solapur,1,18.08,17.0,3032.5,2887.5,6,59.74
Solapur,2,34.05,30.0,3546.82,3375.0,11,69.87
Sonipat,2,32.64,32.8,2841.3,2595.0,46,55.98
Sonipat,3,50.49,49.25,2889.67,2756.5,46,56.93
Sonipat,4,78.85,80.0,3728.89,3650.0,19,73.46
Surat,1,28.86,17.95,4199.24,2597.0,82,82.73
Surat,2,36.73,36.0,3109.16,3203.5,178,61.25
Surat,3,70.75,67.1,3853.16,3785.5,120,75.91
Surat,4,166.82,150.0,5368.79,5000.0,33,105.77
Surat,5,271.88,260.0,6182.75,5562.5,8,121.8
Tenali,2,30.86,30.0,2842.29,2553.0,7,55.99
Thrissur,1,19.66,20.0,4116.4,4080.0,5,81.1
Thrissur,2,43.05,38.75,4082.79,3923.5,24,80.43
Thrissur,3,68.57,60.0,4325.3,4286.0,27,85.21
Tirunelveli,2,39.24,35.0,3853.0,3863.0,5,75.91
Tirupati,2,42.94,42.75,3574.5,3333.0,8,70.42
Tirupati,3,61.55,55.5,3743.25,3748.5,8,73.74
Udaipur,1,15.54,16.0,2833.0,2707.0,5,55.81
Udaipur,2,38.17,38.0,3316.17,3340.0,12,65.33
Udaipur,3,62.72,59.0,3397.12,3256.5,16,66.93
Udupi,1,25.2,26.25,3025.33,2912.0,6,59.6
Udupi,2,34.49,35.0,3255.45,3463.0,20,64.13
Udupi,3,66.06,80.0,3484.43,3454.0,7,68.65
Vadodara,1,16.18,16.0,2703.21,2556.5,68,53.25
Vadodara,2,29.32,28.0,2852.43,2760.0,245,56.19
Vadodara,3,53.08,49.25,3158.82,2973.0,158,62.23
Vadodara,4,95.63,89.0,3647.31,3586.5,32,71.85
Valsad,1,13.05,12.5,2042.18,1924.0,11,40.23
Valsad,2,25.15,23.25,2220.82,2082.5,22,43.75
Valsad,3,38.93,41.5,2445.43,2441.0,7,48.18
Vapi,1,16.16,14.1,2650.19,2244.5,16,52.21
Vapi,2,27.96,27.5,2572.11,2774.5,18,50.67
Varanasi,2,47.78,45.0,4773.0,4186.0,21,94.03
Varanasi,3,71.51,62.5,4751.93,4800.0,15,93.62
Vijayawada,2,34.5,33.5,3335.2,3264.5,46,65.71
Vijayawada,3,71.74,70.0,4340.34,4090.0,29,85.51
Visakhapatnam,2,38.46,35.0,3518.07,3421.0,106,69.31
Visakhapatnam,3,79.99,61.0,4807.47,3999.5,64,94.71
Vizianagaram,2,23.69,26.0,2404.13,2291.0,15,47.36
Wardha,2,23.33,21.5,2293.67,2050.0,6,45.19
